locus_tag	scf_id	seq_type	start	end	strand	product
F6GI3_00020	NODE_1_length_113778_cov_69.521390	CDS	20644	22023	-	Histidine--tRNA ligase
F6GI3_00021	NODE_1_length_113778_cov_69.521390	CDS	22328	24535	-	GTP pyrophosphokinase
F6GI3_00022	NODE_1_length_113778_cov_69.521390	CDS	24604	25116	-	Adenine phosphoribosyltransferase
F6GI3_00023	NODE_1_length_113778_cov_69.521390	CDS	25184	26728	-	Single-stranded-DNA-specific exonuclease RecJ
F6GI3_00024	NODE_1_length_113778_cov_69.521390	CDS	26718	27914	-	hypothetical protein
F6GI3_00025	NODE_1_length_113778_cov_69.521390	CDS	27983	30256	-	Protein translocase subunit SecDF
F6GI3_00026	NODE_1_length_113778_cov_69.521390	CDS	30258	30539	-	hypothetical protein
F6GI3_00027	NODE_1_length_113778_cov_69.521390	CDS	30616	31599	-	Holliday junction ATP-dependent DNA helicase RuvB
F6GI3_00028	NODE_1_length_113778_cov_69.521390	CDS	31603	32178	-	Holliday junction ATP-dependent DNA helicase RuvA
F6GI3_00029	NODE_1_length_113778_cov_69.521390	CDS	32178	32837	-	Hexitol phosphatase B
F6GI3_00030	NODE_1_length_113778_cov_69.521390	CDS	32837	33589	-	Exodeoxyribonuclease
F6GI3_00031	NODE_1_length_113778_cov_69.521390	CDS	33680	34966	-	GTPase Obg
F6GI3_00032	NODE_1_length_113778_cov_69.521390	CDS	35095	35379	-	50S ribosomal protein L27
F6GI3_00033	NODE_1_length_113778_cov_69.521390	CDS	35382	35696	-	hypothetical protein
F6GI3_00034	NODE_1_length_113778_cov_69.521390	CDS	35698	36009	-	50S ribosomal protein L21
F6GI3_00035	NODE_1_length_113778_cov_69.521390	CDS	36150	39212	-	DNA polymerase III subunit alpha
F6GI3_00036	NODE_1_length_113778_cov_69.521390	CDS	39272	40951	-	hypothetical protein
F6GI3_00037	NODE_1_length_113778_cov_69.521390	CDS	40967	41896	-	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
F6GI3_00038	NODE_1_length_113778_cov_69.521390	CDS	41898	43091	-	Acetate kinase
F6GI3_00039	NODE_1_length_113778_cov_69.521390	CDS	43103	43423	-	hypothetical protein
F6GI3_00040	NODE_1_length_113778_cov_69.521390	CDS	43410	44393	-	Signal recognition particle receptor FtsY
F6GI3_00041	NODE_1_length_113778_cov_69.521390	CDS	44411	47323	-	Chromosome partition protein Smc
F6GI3_00042	NODE_1_length_113778_cov_69.521390	CDS	47409	48464	-	Regulator of sigma-W protease RasP
F6GI3_00043	NODE_1_length_113778_cov_69.521390	CDS	48478	49623	-	1-deoxy-D-xylulose 5-phosphate reductoisomerase
F6GI3_00044	NODE_1_length_113778_cov_69.521390	CDS	49624	50388	-	Phosphatidate cytidylyltransferase
F6GI3_00045	NODE_1_length_113778_cov_69.521390	CDS	50388	51089	-	Ditrans%2Cpolycis-undecaprenyl-diphosphate synthase ((2E%2C6E)-farnesyl-diphosphate specific)
F6GI3_00046	NODE_1_length_113778_cov_69.521390	CDS	51136	51681	-	Ribosome-recycling factor
F6GI3_00047	NODE_1_length_113778_cov_69.521390	CDS	51683	52399	-	Uridylate kinase
F6GI3_00048	NODE_1_length_113778_cov_69.521390	CDS	52443	53333	-	Elongation factor Ts
F6GI3_00049	NODE_1_length_113778_cov_69.521390	CDS	53427	54338	-	30S ribosomal protein S2
F6GI3_00050	NODE_1_length_113778_cov_69.521390	CDS	54498	55385	-	Tyrosine recombinase XerD
F6GI3_00051	NODE_1_length_113778_cov_69.521390	CDS	55369	56664	-	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
F6GI3_00052	NODE_1_length_113778_cov_69.521390	CDS	56711	58918	-	DNA topoisomerase 1
F6GI3_00053	NODE_1_length_113778_cov_69.521390	CDS	58934	59665	-	DNA processing protein DprA
F6GI3_00054	NODE_1_length_113778_cov_69.521390	CDS	59796	60410	-	Ribonuclease HII
F6GI3_00055	NODE_1_length_113778_cov_69.521390	CDS	60397	61335	-	Ribosome biogenesis GTPase A
F6GI3_00056	NODE_1_length_113778_cov_69.521390	CDS	61429	61887	-	hypothetical protein
F6GI3_00057	NODE_1_length_113778_cov_69.521390	CDS	61934	62560	-	Signal peptidase I S
F6GI3_00058	NODE_1_length_113778_cov_69.521390	CDS	62635	62985	-	50S ribosomal protein L19
F6GI3_00059	NODE_1_length_113778_cov_69.521390	CDS	63106	63744	-	Putative glycosyltransferase EpsH
F6GI3_00060	NODE_1_length_113778_cov_69.521390	CDS	63809	64534	-	tRNA (guanine-N(1)-)-methyltransferase
F6GI3_00061	NODE_1_length_113778_cov_69.521390	CDS	64534	65040	-	Ribosome maturation factor RimM
F6GI3_00062	NODE_1_length_113778_cov_69.521390	CDS	65076	65318	-	hypothetical protein
F6GI3_00063	NODE_1_length_113778_cov_69.521390	CDS	65324	65596	-	30S ribosomal protein S16
F6GI3_00064	NODE_1_length_113778_cov_69.521390	CDS	65687	67069	-	Signal recognition particle protein
F6GI3_00065	NODE_1_length_113778_cov_69.521390	CDS	67214	68002	-	23S rRNA (guanine(745)-N(1))-methyltransferase
F6GI3_00066	NODE_1_length_113778_cov_69.521390	CDS	68002	69222	-	putative tRNA sulfurtransferase
F6GI3_00067	NODE_1_length_113778_cov_69.521390	CDS	69203	70333	-	Cysteine desulfurase IscS
F6GI3_00068	NODE_1_length_113778_cov_69.521390	CDS	70346	72109	-	Septation ring formation regulator EzrA
F6GI3_00069	NODE_1_length_113778_cov_69.521390	CDS	72422	73024	+	30S ribosomal protein S4
F6GI3_00070	NODE_1_length_113778_cov_69.521390	CDS	73062	73373	-	Single-stranded DNA-binding protein B
F6GI3_00071	NODE_1_length_113778_cov_69.521390	CDS	73448	74728	-	putative zinc protease
F6GI3_00072	NODE_1_length_113778_cov_69.521390	CDS	74718	75971	-	hypothetical protein
F6GI3_00073	NODE_1_length_113778_cov_69.521390	CDS	76116	77078	-	hypothetical protein
F6GI3_00074	NODE_1_length_113778_cov_69.521390	CDS	77078	78187	-	hypothetical protein
F6GI3_00075	NODE_1_length_113778_cov_69.521390	CDS	78187	79716	-	Ribose import ATP-binding protein RbsA
F6GI3_00076	NODE_1_length_113778_cov_69.521390	CDS	79848	80900	-	Membrane lipoprotein TmpC
F6GI3_00077	NODE_1_length_113778_cov_69.521390	CDS	81097	81633	+	hypothetical protein
F6GI3_00078	NODE_1_length_113778_cov_69.521390	CDS	81684	81875	+	hypothetical protein
F6GI3_00079	NODE_1_length_113778_cov_69.521390	CDS	81875	82483	+	hypothetical protein
F6GI3_00080	NODE_1_length_113778_cov_69.521390	CDS	82531	83352	-	Putative glycyl-radical enzyme activating enzyme YjjW
F6GI3_00081	NODE_1_length_113778_cov_69.521390	CDS	83336	84844	-	putative protein
F6GI3_00082	NODE_1_length_113778_cov_69.521390	CDS	84893	87094	-	DNA translocase SpoIIIE
F6GI3_00083	NODE_1_length_113778_cov_69.521390	CDS	87094	88764	-	Ribonuclease J1
F6GI3_00084	NODE_1_length_113778_cov_69.521390	CDS	88903	90357	-	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
F6GI3_00085	NODE_1_length_113778_cov_69.521390	CDS	90494	90667	-	Ferredoxin
F6GI3_00086	NODE_1_length_113778_cov_69.521390	CDS	90741	91520	-	2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase
F6GI3_00087	NODE_1_length_113778_cov_69.521390	CDS	91521	93071	-	Ribonuclease Y
F6GI3_00088	NODE_1_length_113778_cov_69.521390	CDS	93259	94287	-	Protein RecA
F6GI3_00089	NODE_1_length_113778_cov_69.521390	CDS	94322	94780	-	Protein MG115 
F6GI3_00090	NODE_1_length_113778_cov_69.521390	CDS	94782	95375	-	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
F6GI3_00091	NODE_1_length_113778_cov_69.521390	CDS	95387	96262	-	hypothetical protein
F6GI3_00092	NODE_1_length_113778_cov_69.521390	CDS	96737	97060	-	Cell cycle protein GpsB
F6GI3_00093	NODE_1_length_113778_cov_69.521390	CDS	97173	97775	+	Holliday junction resolvase RecU
F6GI3_00094	NODE_1_length_113778_cov_69.521390	CDS	97785	100571	+	Penicillin-binding protein 1A/1B
F6GI3_00095	NODE_1_length_113778_cov_69.521390	CDS	100662	101309	-	Endonuclease III
F6GI3_00096	NODE_1_length_113778_cov_69.521390	CDS	101309	101839	-	DNA replication protein DnaD
F6GI3_00097	NODE_1_length_113778_cov_69.521390	CDS	101841	102314	-	hypothetical protein
F6GI3_00098	NODE_1_length_113778_cov_69.521390	CDS	102424	102975	+	hypothetical protein
F6GI3_00099	NODE_1_length_113778_cov_69.521390	CDS	103013	103690	-	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
F6GI3_00100	NODE_1_length_113778_cov_69.521390	CDS	103693	104397	-	Glycine/sarcosine N-methyltransferase
F6GI3_00101	NODE_1_length_113778_cov_69.521390	CDS	104390	104725	-	Ribosomal silencing factor RsfS
F6GI3_00102	NODE_1_length_113778_cov_69.521390	CDS	104729	105751	-	Nicotinate-nucleotide adenylyltransferase
F6GI3_00103	NODE_1_length_113778_cov_69.521390	CDS	105741	106025	-	RNA-binding protein YhbY
F6GI3_00104	NODE_1_length_113778_cov_69.521390	CDS	106025	107107	-	putative protein YqeH
F6GI3_00105	NODE_1_length_113778_cov_69.521390	CDS	107100	107627	-	Phosphoglycolate phosphatase
F6GI3_00106	NODE_1_length_113778_cov_69.521390	CDS	107804	110266	-	DNA topoisomerase 4 subunit A
F6GI3_00107	NODE_1_length_113778_cov_69.521390	CDS	110259	112181	-	DNA topoisomerase 4 subunit B
F6GI3_00108	NODE_1_length_113778_cov_69.521390	CDS	112302	112901	+	Glycerol-3-phosphate acyltransferase
F6GI3_00109	NODE_1_length_113778_cov_69.521390	CDS	112983	113705	+	TVP38/TMEM64 family inner membrane protein YdjZ
F6GI3_00243	NODE_3_length_86678_cov_74.991238	CDS	212	1168	+	putative ABC transporter solute-binding protein YclQ
F6GI3_00244	NODE_3_length_86678_cov_74.991238	CDS	1227	2108	+	HTH-type transcriptional activator CmpR
F6GI3_00245	NODE_3_length_86678_cov_74.991238	CDS	2097	2657	-	Chromate transport protein
F6GI3_00246	NODE_3_length_86678_cov_74.991238	CDS	2657	3262	-	putative chromate transport protein
F6GI3_00247	NODE_3_length_86678_cov_74.991238	CDS	3696	4175	+	N5-carboxyaminoimidazole ribonucleotide mutase
F6GI3_00248	NODE_3_length_86678_cov_74.991238	CDS	4172	5290	+	N5-carboxyaminoimidazole ribonucleotide synthase
F6GI3_00249	NODE_3_length_86678_cov_74.991238	CDS	5283	8972	+	Phosphoribosylformylglycinamidine synthase
F6GI3_00250	NODE_3_length_86678_cov_74.991238	CDS	8988	9692	+	Phosphoribosylaminoimidazole-succinocarboxamide synthase
F6GI3_00251	NODE_3_length_86678_cov_74.991238	CDS	9701	11101	+	Amidophosphoribosyltransferase
F6GI3_00252	NODE_3_length_86678_cov_74.991238	CDS	11111	12133	+	Phosphoribosylformylglycinamidine cyclo-ligase
F6GI3_00253	NODE_3_length_86678_cov_74.991238	CDS	12130	12699	+	Phosphoribosylglycinamide formyltransferase
F6GI3_00254	NODE_3_length_86678_cov_74.991238	CDS	12699	14231	+	Bifunctional purine biosynthesis protein PurH
F6GI3_00255	NODE_3_length_86678_cov_74.991238	CDS	14231	15463	+	Phosphoribosylamine--glycine ligase
F6GI3_00256	NODE_3_length_86678_cov_74.991238	CDS	15520	15786	+	hypothetical protein
F6GI3_00257	NODE_3_length_86678_cov_74.991238	tRNA	15898	15984	+	tRNA-Leu(taa)
F6GI3_00258	NODE_3_length_86678_cov_74.991238	tRNA	16027	16113	+	tRNA-Leu(taa)
F6GI3_00259	NODE_3_length_86678_cov_74.991238	CDS	16194	16907	+	Type 4 prepilin-like proteins leader peptide-processing enzyme
F6GI3_00260	NODE_3_length_86678_cov_74.991238	CDS	16932	17639	+	hypothetical protein
F6GI3_00261	NODE_3_length_86678_cov_74.991238	CDS	17617	17922	+	hypothetical protein
F6GI3_00262	NODE_3_length_86678_cov_74.991238	CDS	17991	18521	+	Putative NAD(P)H nitroreductase
F6GI3_00263	NODE_3_length_86678_cov_74.991238	CDS	18496	19155	+	putative iron export ATP-binding protein FetA
F6GI3_00264	NODE_3_length_86678_cov_74.991238	CDS	19148	19897	+	putative iron export permease protein FetB
F6GI3_00265	NODE_3_length_86678_cov_74.991238	CDS	19972	21300	+	NADH oxidase
F6GI3_00266	NODE_3_length_86678_cov_74.991238	CDS	21319	21450	+	hypothetical protein
F6GI3_00267	NODE_3_length_86678_cov_74.991238	CDS	21490	21849	-	hypothetical protein
F6GI3_00268	NODE_3_length_86678_cov_74.991238	CDS	21997	22269	+	putative protein YaaQ
F6GI3_00269	NODE_3_length_86678_cov_74.991238	CDS	22349	23428	+	Serine protease Do-like HtrA
F6GI3_00270	NODE_3_length_86678_cov_74.991238	CDS	23462	24631	-	putative protein
F6GI3_00271	NODE_3_length_86678_cov_74.991238	CDS	24644	25222	-	hypothetical protein
F6GI3_00272	NODE_3_length_86678_cov_74.991238	CDS	25357	26553	+	Alcohol dehydrogenase 2
F6GI3_00273	NODE_3_length_86678_cov_74.991238	CDS	26553	27905	+	NAD(P)-dependent benzaldehyde dehydrogenase
F6GI3_00274	NODE_3_length_86678_cov_74.991238	CDS	28033	28818	+	hypothetical protein
F6GI3_00275	NODE_3_length_86678_cov_74.991238	CDS	28852	30087	-	GTPase HflX
F6GI3_00276	NODE_3_length_86678_cov_74.991238	CDS	30225	31253	+	hypothetical protein
F6GI3_00277	NODE_3_length_86678_cov_74.991238	CDS	31443	36494	+	Collagen adhesin
F6GI3_00278	NODE_3_length_86678_cov_74.991238	CDS	36528	36971	+	Spermidine/spermine N(1)-acetyltransferase
F6GI3_00279	NODE_3_length_86678_cov_74.991238	CDS	37025	38479	+	hypothetical protein
F6GI3_00280	NODE_3_length_86678_cov_74.991238	CDS	38560	38733	+	hypothetical protein
F6GI3_00281	NODE_3_length_86678_cov_74.991238	CDS	39155	39418	+	hypothetical protein
F6GI3_00282	NODE_3_length_86678_cov_74.991238	tRNA	39467	39540	-	tRNA-Trp(cca)
F6GI3_00283	NODE_3_length_86678_cov_74.991238	tRNA	39545	39620	-	tRNA-Glu(ttc)
F6GI3_00284	NODE_3_length_86678_cov_74.991238	CDS	39762	40769	-	hypothetical protein
F6GI3_00285	NODE_3_length_86678_cov_74.991238	CDS	40970	42043	+	Trehalose import ATP-binding protein SugC
F6GI3_00286	NODE_3_length_86678_cov_74.991238	CDS	42009	42950	+	Lactose transport system permease protein LacF
F6GI3_00287	NODE_3_length_86678_cov_74.991238	CDS	42960	43778	+	L-arabinose transport system permease protein AraQ
F6GI3_00288	NODE_3_length_86678_cov_74.991238	CDS	43762	45060	+	Ribonuclease J
F6GI3_00289	NODE_3_length_86678_cov_74.991238	CDS	45075	46331	+	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
F6GI3_00290	NODE_3_length_86678_cov_74.991238	CDS	46421	46744	-	hypothetical protein
F6GI3_00291	NODE_3_length_86678_cov_74.991238	CDS	46867	48057	+	hypothetical protein
F6GI3_00292	NODE_3_length_86678_cov_74.991238	CDS	48047	48688	+	hypothetical protein
F6GI3_00293	NODE_3_length_86678_cov_74.991238	CDS	48742	49950	+	hypothetical protein
F6GI3_00294	NODE_3_length_86678_cov_74.991238	CDS	50039	50419	+	hypothetical protein
F6GI3_00295	NODE_3_length_86678_cov_74.991238	CDS	50416	51192	-	hypothetical protein
F6GI3_00296	NODE_3_length_86678_cov_74.991238	CDS	51273	51608	+	hypothetical protein
F6GI3_00297	NODE_3_length_86678_cov_74.991238	CDS	51642	52640	-	UDP-glucose 4-epimerase
F6GI3_00298	NODE_3_length_86678_cov_74.991238	CDS	52678	53448	-	Type III pantothenate kinase
F6GI3_00299	NODE_3_length_86678_cov_74.991238	CDS	53448	54083	-	Pantothenic acid transporter PanT
F6GI3_00300	NODE_3_length_86678_cov_74.991238	CDS	54312	55460	+	hypothetical protein
F6GI3_00301	NODE_3_length_86678_cov_74.991238	CDS	55470	56309	+	hypothetical protein
F6GI3_00302	NODE_3_length_86678_cov_74.991238	CDS	56662	60168	+	Pyruvate synthase
F6GI3_00303	NODE_3_length_86678_cov_74.991238	CDS	60415	63045	+	Aldehyde-alcohol dehydrogenase
F6GI3_00304	NODE_3_length_86678_cov_74.991238	CDS	63151	64158	+	Processive diacylglycerol alpha-glucosyltransferase
F6GI3_00305	NODE_3_length_86678_cov_74.991238	CDS	64152	65183	+	hypothetical protein
F6GI3_00306	NODE_3_length_86678_cov_74.991238	CDS	65190	67187	+	Alpha-monoglucosyldiacylglycerol synthase
F6GI3_00307	NODE_3_length_86678_cov_74.991238	CDS	67177	68106	+	3'-5' exoribonuclease YhaM
F6GI3_00308	NODE_3_length_86678_cov_74.991238	CDS	68110	68763	+	tRNA1(Val) (adenine(37)-N6)-methyltransferase
F6GI3_00309	NODE_3_length_86678_cov_74.991238	CDS	68775	69572	+	Sugar phosphatase YbiV
F6GI3_00310	NODE_3_length_86678_cov_74.991238	CDS	69556	71181	+	hypothetical protein
F6GI3_00311	NODE_3_length_86678_cov_74.991238	CDS	71181	71402	+	hypothetical protein
F6GI3_00312	NODE_3_length_86678_cov_74.991238	CDS	71399	71938	+	putative chromate transport protein
F6GI3_00313	NODE_3_length_86678_cov_74.991238	CDS	71935	72486	+	Chromate transport protein
F6GI3_00314	NODE_3_length_86678_cov_74.991238	CDS	72495	74600	+	Protein YhgF
F6GI3_00315	NODE_3_length_86678_cov_74.991238	CDS	74602	75894	+	hypothetical protein
F6GI3_00316	NODE_3_length_86678_cov_74.991238	CDS	75954	76397	+	hypothetical protein
F6GI3_00317	NODE_3_length_86678_cov_74.991238	CDS	76492	77310	+	Transketolase 2
F6GI3_00318	NODE_3_length_86678_cov_74.991238	CDS	77310	78245	+	1-deoxy-D-xylulose-5-phosphate synthase
F6GI3_00319	NODE_3_length_86678_cov_74.991238	CDS	78288	79805	-	Sulfite reductase [ferredoxin]
F6GI3_00320	NODE_3_length_86678_cov_74.991238	CDS	79808	80560	-	Iron(3+)-hydroxamate import ATP-binding protein FhuC
F6GI3_00321	NODE_3_length_86678_cov_74.991238	CDS	80547	81539	-	Hemin transport system permease protein HmuU
F6GI3_00322	NODE_3_length_86678_cov_74.991238	CDS	81511	82413	-	Fe(3+)-citrate-binding protein YfmC
F6GI3_00323	NODE_3_length_86678_cov_74.991238	CDS	82566	83966	+	Aryl-phospho-beta-D-glucosidase BglC
F6GI3_00324	NODE_3_length_86678_cov_74.991238	CDS	84158	84688	+	hypothetical protein
F6GI3_00325	NODE_4_length_79659_cov_76.046317	CDS	68	1027	-	putative ABC transporter solute-binding protein YclQ
F6GI3_00326	NODE_4_length_79659_cov_76.046317	CDS	1040	1792	-	Iron(3+)-hydroxamate import ATP-binding protein FhuC
F6GI3_00327	NODE_4_length_79659_cov_76.046317	CDS	1795	2757	-	Ferric-anguibactin transport system permease protein FatC
F6GI3_00328	NODE_4_length_79659_cov_76.046317	CDS	2750	3736	-	Ferric-anguibactin transport system permease protein FatD
F6GI3_00329	NODE_4_length_79659_cov_76.046317	CDS	3954	4772	-	Phosphate-import permease protein PhnE
F6GI3_00330	NODE_4_length_79659_cov_76.046317	CDS	4772	5596	-	Phosphate-import permease protein PhnE
F6GI3_00331	NODE_4_length_79659_cov_76.046317	CDS	5598	6362	-	Phosphate-import ATP-binding protein PhnC
F6GI3_00332	NODE_4_length_79659_cov_76.046317	CDS	6437	7441	-	hypothetical protein
F6GI3_00333	NODE_4_length_79659_cov_76.046317	CDS	7769	8731	-	CRISPR-associated endonuclease Cas9
F6GI3_00334	NODE_4_length_79659_cov_76.046317	CDS	8734	9084	-	hypothetical protein
F6GI3_00335	NODE_4_length_79659_cov_76.046317	CDS	9180	10829	-	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
F6GI3_00336	NODE_4_length_79659_cov_76.046317	CDS	11052	12584	-	GMP synthase [glutamine-hydrolyzing]
F6GI3_00337	NODE_4_length_79659_cov_76.046317	CDS	12574	13719	-	Inosine-5'-monophosphate dehydrogenase
F6GI3_00338	NODE_4_length_79659_cov_76.046317	CDS	13860	15353	-	Guanine/hypoxanthine permease PbuG
F6GI3_00339	NODE_4_length_79659_cov_76.046317	CDS	15524	16162	-	Chloramphenicol acetyltransferase
F6GI3_00340	NODE_4_length_79659_cov_76.046317	CDS	16216	16362	-	hypothetical protein
F6GI3_00341	NODE_4_length_79659_cov_76.046317	CDS	16380	17696	-	23S rRNA (uracil-C(5))-methyltransferase RlmCD
F6GI3_00342	NODE_4_length_79659_cov_76.046317	CDS	17698	18348	-	hypothetical protein
F6GI3_00343	NODE_4_length_79659_cov_76.046317	CDS	18468	19553	-	hypothetical protein
F6GI3_00344	NODE_4_length_79659_cov_76.046317	CDS	19563	20966	-	Peptidoglycan O-acetyltransferase
F6GI3_00345	NODE_4_length_79659_cov_76.046317	CDS	20976	21473	-	hypothetical protein
F6GI3_00346	NODE_4_length_79659_cov_76.046317	CDS	21563	21952	-	hypothetical protein
F6GI3_00347	NODE_4_length_79659_cov_76.046317	CDS	22141	24183	-	Cadmium%2C zinc and cobalt-transporting ATPase
F6GI3_00348	NODE_4_length_79659_cov_76.046317	CDS	24185	24520	-	Transcriptional repressor SmtB 
F6GI3_00349	NODE_4_length_79659_cov_76.046317	CDS	24693	25841	+	S-adenosylmethionine synthase
F6GI3_00350	NODE_4_length_79659_cov_76.046317	CDS	25928	27064	-	Glycerate 2-kinase
F6GI3_00351	NODE_4_length_79659_cov_76.046317	CDS	27168	28622	-	Putative glycoside/cation symporter YagG
F6GI3_00352	NODE_4_length_79659_cov_76.046317	CDS	28965	29639	-	HTH-type transcriptional repressor RspR
F6GI3_00353	NODE_4_length_79659_cov_76.046317	CDS	29829	30632	+	hypothetical protein
F6GI3_00354	NODE_4_length_79659_cov_76.046317	CDS	30632	32404	+	Beta-N-acetylglucosaminidase/beta-glucosidase
F6GI3_00355	NODE_4_length_79659_cov_76.046317	CDS	32671	33690	-	2-dehydro-3-deoxygluconokinase
F6GI3_00356	NODE_4_length_79659_cov_76.046317	CDS	33722	34663	-	Putative KHG/KDPG aldolase
F6GI3_00357	NODE_4_length_79659_cov_76.046317	CDS	34912	35418	-	hypothetical protein
F6GI3_00358	NODE_4_length_79659_cov_76.046317	CDS	35573	36988	-	Uronate isomerase
F6GI3_00359	NODE_4_length_79659_cov_76.046317	CDS	36972	37829	-	Inosose dehydratase
F6GI3_00360	NODE_4_length_79659_cov_76.046317	CDS	37822	38838	-	Putative 4%2C5-dihydroxyphthalate dehydrogenase
F6GI3_00361	NODE_4_length_79659_cov_76.046317	CDS	38870	40030	-	Myo-inositol 2-dehydrogenase
F6GI3_00362	NODE_4_length_79659_cov_76.046317	CDS	40048	40914	-	hypothetical protein
F6GI3_00363	NODE_4_length_79659_cov_76.046317	CDS	40916	41761	-	putative oxidoreductase
F6GI3_00364	NODE_4_length_79659_cov_76.046317	CDS	41763	42809	-	Mannonate dehydratase
F6GI3_00365	NODE_4_length_79659_cov_76.046317	CDS	42946	44181	-	hypothetical protein
F6GI3_00366	NODE_4_length_79659_cov_76.046317	CDS	44302	45102	-	hypothetical protein
F6GI3_00367	NODE_4_length_79659_cov_76.046317	CDS	45105	45566	-	hypothetical protein
F6GI3_00368	NODE_4_length_79659_cov_76.046317	CDS	45770	46624	+	Small-conductance mechanosensitive channel
F6GI3_00369	NODE_4_length_79659_cov_76.046317	CDS	46645	47634	+	Choloylglycine hydrolase
F6GI3_00370	NODE_4_length_79659_cov_76.046317	CDS	47674	48063	-	Inner membrane protein YbaN
F6GI3_00371	NODE_4_length_79659_cov_76.046317	CDS	48069	48401	-	hypothetical protein
F6GI3_00372	NODE_4_length_79659_cov_76.046317	CDS	48403	50082	-	putative ABC transporter ATP-binding protein
F6GI3_00373	NODE_4_length_79659_cov_76.046317	CDS	50084	51814	-	ATP-binding/permease protein CydD
F6GI3_00374	NODE_4_length_79659_cov_76.046317	CDS	52030	52809	-	Ferric enterobactin transport ATP-binding protein FepC
F6GI3_00375	NODE_4_length_79659_cov_76.046317	CDS	52799	53785	-	putative heme-iron transport system permease protein IsdF
F6GI3_00376	NODE_4_length_79659_cov_76.046317	CDS	53794	54651	-	High-affinity heme uptake system protein IsdE
F6GI3_00377	NODE_4_length_79659_cov_76.046317	CDS	54644	55399	-	hypothetical protein
F6GI3_00378	NODE_4_length_79659_cov_76.046317	CDS	55392	58499	-	Beta-N-acetylhexosaminidase
F6GI3_00379	NODE_4_length_79659_cov_76.046317	CDS	58666	60009	-	Magnesium transporter MgtE
F6GI3_00380	NODE_4_length_79659_cov_76.046317	CDS	60023	61366	-	Magnesium transporter MgtE
F6GI3_00381	NODE_4_length_79659_cov_76.046317	CDS	61427	62224	-	Zinc transporter ZupT
F6GI3_00382	NODE_4_length_79659_cov_76.046317	CDS	62241	63413	-	Sensor histidine kinase CssS
F6GI3_00383	NODE_4_length_79659_cov_76.046317	CDS	63558	64217	-	Transcriptional regulatory protein CssR
F6GI3_00384	NODE_4_length_79659_cov_76.046317	CDS	64338	65672	-	Phosphoglucosamine mutase
F6GI3_00385	NODE_4_length_79659_cov_76.046317	CDS	65689	67035	-	CdaA regulatory protein CdaR
F6GI3_00386	NODE_4_length_79659_cov_76.046317	CDS	67025	67990	-	Diadenylate cyclase
F6GI3_00387	NODE_4_length_79659_cov_76.046317	CDS	68115	68879	-	Putative phosphatase
F6GI3_00388	NODE_4_length_79659_cov_76.046317	CDS	68920	69492	-	Septum formation protein Maf
