scf_id	seq_type	start	end	strand	locus_tag	product
NODE_1_length_113778_cov_69.521390	CDS	47409	48464	-	F6GI3_00042	Regulator of sigma-W protease RasP
NODE_1_length_113778_cov_69.521390	CDS	48478	49623	-	F6GI3_00043	1-deoxy-D-xylulose 5-phosphate reductoisomerase
NODE_1_length_113778_cov_69.521390	CDS	49624	50388	-	F6GI3_00044	Phosphatidate cytidylyltransferase
NODE_1_length_113778_cov_69.521390	CDS	50388	51089	-	F6GI3_00045	Ditrans%2Cpolycis-undecaprenyl-diphosphate synthase ((2E%2C6E)-farnesyl-diphosphate specific)
NODE_1_length_113778_cov_69.521390	CDS	51136	51681	-	F6GI3_00046	Ribosome-recycling factor
NODE_1_length_113778_cov_69.521390	CDS	51683	52399	-	F6GI3_00047	Uridylate kinase
NODE_1_length_113778_cov_69.521390	CDS	52443	53333	-	F6GI3_00048	Elongation factor Ts
NODE_1_length_113778_cov_69.521390	CDS	53427	54338	-	F6GI3_00049	30S ribosomal protein S2
NODE_1_length_113778_cov_69.521390	CDS	54498	55385	-	F6GI3_00050	Tyrosine recombinase XerD
NODE_1_length_113778_cov_69.521390	CDS	55369	56664	-	F6GI3_00051	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
NODE_1_length_113778_cov_69.521390	CDS	56711	58918	-	F6GI3_00052	DNA topoisomerase 1
NODE_1_length_113778_cov_69.521390	CDS	58934	59665	-	F6GI3_00053	DNA processing protein DprA
NODE_1_length_113778_cov_69.521390	CDS	59796	60410	-	F6GI3_00054	Ribonuclease HII
NODE_1_length_113778_cov_69.521390	CDS	60397	61335	-	F6GI3_00055	Ribosome biogenesis GTPase A
NODE_1_length_113778_cov_69.521390	CDS	61429	61887	-	F6GI3_00056	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	61934	62560	-	F6GI3_00057	Signal peptidase I S
NODE_1_length_113778_cov_69.521390	CDS	62635	62985	-	F6GI3_00058	50S ribosomal protein L19
NODE_1_length_113778_cov_69.521390	CDS	63106	63744	-	F6GI3_00059	Putative glycosyltransferase EpsH
NODE_1_length_113778_cov_69.521390	CDS	63809	64534	-	F6GI3_00060	tRNA (guanine-N(1)-)-methyltransferase
NODE_1_length_113778_cov_69.521390	CDS	64534	65040	-	F6GI3_00061	Ribosome maturation factor RimM
NODE_1_length_113778_cov_69.521390	CDS	65076	65318	-	F6GI3_00062	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	65324	65596	-	F6GI3_00063	30S ribosomal protein S16
NODE_1_length_113778_cov_69.521390	CDS	65687	67069	-	F6GI3_00064	Signal recognition particle protein
NODE_1_length_113778_cov_69.521390	CDS	67214	68002	-	F6GI3_00065	23S rRNA (guanine(745)-N(1))-methyltransferase
NODE_1_length_113778_cov_69.521390	CDS	68002	69222	-	F6GI3_00066	putative tRNA sulfurtransferase
NODE_1_length_113778_cov_69.521390	CDS	69203	70333	-	F6GI3_00067	Cysteine desulfurase IscS
NODE_1_length_113778_cov_69.521390	CDS	70346	72109	-	F6GI3_00068	Septation ring formation regulator EzrA
NODE_1_length_113778_cov_69.521390	CDS	72422	73024	+	F6GI3_00069	30S ribosomal protein S4
NODE_1_length_113778_cov_69.521390	CDS	73062	73373	-	F6GI3_00070	Single-stranded DNA-binding protein B
NODE_1_length_113778_cov_69.521390	CDS	73448	74728	-	F6GI3_00071	putative zinc protease
NODE_1_length_113778_cov_69.521390	CDS	74718	75971	-	F6GI3_00072	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	76116	77078	-	F6GI3_00073	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	77078	78187	-	F6GI3_00074	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	78187	79716	-	F6GI3_00075	Ribose import ATP-binding protein RbsA
NODE_1_length_113778_cov_69.521390	CDS	79848	80900	-	F6GI3_00076	Membrane lipoprotein TmpC
NODE_1_length_113778_cov_69.521390	CDS	81097	81633	+	F6GI3_00077	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	81684	81875	+	F6GI3_00078	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	81875	82483	+	F6GI3_00079	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	82531	83352	-	F6GI3_00080	Putative glycyl-radical enzyme activating enzyme YjjW
NODE_1_length_113778_cov_69.521390	CDS	83336	84844	-	F6GI3_00081	putative protein
NODE_1_length_113778_cov_69.521390	CDS	84893	87094	-	F6GI3_00082	DNA translocase SpoIIIE
NODE_1_length_113778_cov_69.521390	CDS	87094	88764	-	F6GI3_00083	Ribonuclease J1
NODE_1_length_113778_cov_69.521390	CDS	88903	90357	-	F6GI3_00084	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
NODE_1_length_113778_cov_69.521390	CDS	90494	90667	-	F6GI3_00085	Ferredoxin
NODE_1_length_113778_cov_69.521390	CDS	90741	91520	-	F6GI3_00086	2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase
NODE_1_length_113778_cov_69.521390	CDS	91521	93071	-	F6GI3_00087	Ribonuclease Y
NODE_1_length_113778_cov_69.521390	CDS	93259	94287	-	F6GI3_00088	Protein RecA
NODE_1_length_113778_cov_69.521390	CDS	94322	94780	-	F6GI3_00089	Protein MG115 
NODE_1_length_113778_cov_69.521390	CDS	94782	95375	-	F6GI3_00090	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
NODE_1_length_113778_cov_69.521390	CDS	95387	96262	-	F6GI3_00091	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	96737	97060	-	F6GI3_00092	Cell cycle protein GpsB
NODE_1_length_113778_cov_69.521390	CDS	97173	97775	+	F6GI3_00093	Holliday junction resolvase RecU
NODE_1_length_113778_cov_69.521390	CDS	97785	100571	+	F6GI3_00094	Penicillin-binding protein 1A/1B
NODE_1_length_113778_cov_69.521390	CDS	100662	101309	-	F6GI3_00095	Endonuclease III
NODE_1_length_113778_cov_69.521390	CDS	101309	101839	-	F6GI3_00096	DNA replication protein DnaD
NODE_1_length_113778_cov_69.521390	CDS	101841	102314	-	F6GI3_00097	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	102424	102975	+	F6GI3_00098	hypothetical protein
NODE_1_length_113778_cov_69.521390	CDS	103013	103690	-	F6GI3_00099	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
NODE_1_length_113778_cov_69.521390	CDS	103693	104397	-	F6GI3_00100	Glycine/sarcosine N-methyltransferase
NODE_1_length_113778_cov_69.521390	CDS	104390	104725	-	F6GI3_00101	Ribosomal silencing factor RsfS
NODE_1_length_113778_cov_69.521390	CDS	104729	105751	-	F6GI3_00102	Nicotinate-nucleotide adenylyltransferase
NODE_1_length_113778_cov_69.521390	CDS	105741	106025	-	F6GI3_00103	RNA-binding protein YhbY
NODE_1_length_113778_cov_69.521390	CDS	106025	107107	-	F6GI3_00104	putative protein YqeH
NODE_1_length_113778_cov_69.521390	CDS	107100	107627	-	F6GI3_00105	Phosphoglycolate phosphatase
NODE_1_length_113778_cov_69.521390	CDS	107804	110266	-	F6GI3_00106	DNA topoisomerase 4 subunit A
NODE_1_length_113778_cov_69.521390	CDS	110259	112181	-	F6GI3_00107	DNA topoisomerase 4 subunit B
NODE_1_length_113778_cov_69.521390	CDS	112302	112901	+	F6GI3_00108	Glycerol-3-phosphate acyltransferase
NODE_1_length_113778_cov_69.521390	CDS	112983	113705	+	F6GI3_00109	TVP38/TMEM64 family inner membrane protein YdjZ
NODE_3_length_86678_cov_74.991238	CDS	212	1168	+	F6GI3_00243	putative ABC transporter solute-binding protein YclQ
NODE_3_length_86678_cov_74.991238	CDS	1227	2108	+	F6GI3_00244	HTH-type transcriptional activator CmpR
NODE_3_length_86678_cov_74.991238	CDS	2097	2657	-	F6GI3_00245	Chromate transport protein
NODE_3_length_86678_cov_74.991238	CDS	2657	3262	-	F6GI3_00246	putative chromate transport protein
NODE_3_length_86678_cov_74.991238	CDS	3696	4175	+	F6GI3_00247	N5-carboxyaminoimidazole ribonucleotide mutase
NODE_3_length_86678_cov_74.991238	CDS	4172	5290	+	F6GI3_00248	N5-carboxyaminoimidazole ribonucleotide synthase
NODE_3_length_86678_cov_74.991238	CDS	5283	8972	+	F6GI3_00249	Phosphoribosylformylglycinamidine synthase
NODE_3_length_86678_cov_74.991238	CDS	8988	9692	+	F6GI3_00250	Phosphoribosylaminoimidazole-succinocarboxamide synthase
NODE_3_length_86678_cov_74.991238	CDS	9701	11101	+	F6GI3_00251	Amidophosphoribosyltransferase
NODE_3_length_86678_cov_74.991238	CDS	11111	12133	+	F6GI3_00252	Phosphoribosylformylglycinamidine cyclo-ligase
NODE_3_length_86678_cov_74.991238	CDS	12130	12699	+	F6GI3_00253	Phosphoribosylglycinamide formyltransferase
NODE_3_length_86678_cov_74.991238	CDS	12699	14231	+	F6GI3_00254	Bifunctional purine biosynthesis protein PurH
NODE_3_length_86678_cov_74.991238	CDS	14231	15463	+	F6GI3_00255	Phosphoribosylamine--glycine ligase
NODE_3_length_86678_cov_74.991238	CDS	15520	15786	+	F6GI3_00256	hypothetical protein
NODE_3_length_86678_cov_74.991238	tRNA	15898	15984	+	F6GI3_00257	tRNA-Leu(taa)
NODE_3_length_86678_cov_74.991238	tRNA	16027	16113	+	F6GI3_00258	tRNA-Leu(taa)
NODE_3_length_86678_cov_74.991238	CDS	16194	16907	+	F6GI3_00259	Type 4 prepilin-like proteins leader peptide-processing enzyme
NODE_3_length_86678_cov_74.991238	CDS	16932	17639	+	F6GI3_00260	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	17617	17922	+	F6GI3_00261	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	17991	18521	+	F6GI3_00262	Putative NAD(P)H nitroreductase
NODE_3_length_86678_cov_74.991238	CDS	18496	19155	+	F6GI3_00263	putative iron export ATP-binding protein FetA
NODE_3_length_86678_cov_74.991238	CDS	19148	19897	+	F6GI3_00264	putative iron export permease protein FetB
NODE_3_length_86678_cov_74.991238	CDS	19972	21300	+	F6GI3_00265	NADH oxidase
NODE_3_length_86678_cov_74.991238	CDS	21319	21450	+	F6GI3_00266	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	21490	21849	-	F6GI3_00267	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	21997	22269	+	F6GI3_00268	putative protein YaaQ
NODE_3_length_86678_cov_74.991238	CDS	22349	23428	+	F6GI3_00269	Serine protease Do-like HtrA
NODE_3_length_86678_cov_74.991238	CDS	23462	24631	-	F6GI3_00270	putative protein
NODE_3_length_86678_cov_74.991238	CDS	24644	25222	-	F6GI3_00271	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	25357	26553	+	F6GI3_00272	Alcohol dehydrogenase 2
NODE_3_length_86678_cov_74.991238	CDS	26553	27905	+	F6GI3_00273	NAD(P)-dependent benzaldehyde dehydrogenase
NODE_3_length_86678_cov_74.991238	CDS	28033	28818	+	F6GI3_00274	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	28852	30087	-	F6GI3_00275	GTPase HflX
NODE_3_length_86678_cov_74.991238	CDS	30225	31253	+	F6GI3_00276	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	31443	36494	+	F6GI3_00277	Collagen adhesin
NODE_3_length_86678_cov_74.991238	CDS	36528	36971	+	F6GI3_00278	Spermidine/spermine N(1)-acetyltransferase
NODE_3_length_86678_cov_74.991238	CDS	37025	38479	+	F6GI3_00279	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	38560	38733	+	F6GI3_00280	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	39155	39418	+	F6GI3_00281	hypothetical protein
NODE_3_length_86678_cov_74.991238	tRNA	39467	39540	-	F6GI3_00282	tRNA-Trp(cca)
NODE_3_length_86678_cov_74.991238	tRNA	39545	39620	-	F6GI3_00283	tRNA-Glu(ttc)
NODE_3_length_86678_cov_74.991238	CDS	39762	40769	-	F6GI3_00284	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	40970	42043	+	F6GI3_00285	Trehalose import ATP-binding protein SugC
NODE_3_length_86678_cov_74.991238	CDS	42009	42950	+	F6GI3_00286	Lactose transport system permease protein LacF
NODE_3_length_86678_cov_74.991238	CDS	42960	43778	+	F6GI3_00287	L-arabinose transport system permease protein AraQ
NODE_3_length_86678_cov_74.991238	CDS	43762	45060	+	F6GI3_00288	Ribonuclease J
NODE_3_length_86678_cov_74.991238	CDS	45075	46331	+	F6GI3_00289	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
NODE_3_length_86678_cov_74.991238	CDS	46421	46744	-	F6GI3_00290	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	46867	48057	+	F6GI3_00291	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	48047	48688	+	F6GI3_00292	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	48742	49950	+	F6GI3_00293	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	50039	50419	+	F6GI3_00294	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	50416	51192	-	F6GI3_00295	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	51273	51608	+	F6GI3_00296	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	51642	52640	-	F6GI3_00297	UDP-glucose 4-epimerase
NODE_3_length_86678_cov_74.991238	CDS	52678	53448	-	F6GI3_00298	Type III pantothenate kinase
NODE_3_length_86678_cov_74.991238	CDS	53448	54083	-	F6GI3_00299	Pantothenic acid transporter PanT
NODE_3_length_86678_cov_74.991238	CDS	54312	55460	+	F6GI3_00300	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	55470	56309	+	F6GI3_00301	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	56662	60168	+	F6GI3_00302	Pyruvate synthase
NODE_3_length_86678_cov_74.991238	CDS	60415	63045	+	F6GI3_00303	Aldehyde-alcohol dehydrogenase
NODE_3_length_86678_cov_74.991238	CDS	63151	64158	+	F6GI3_00304	Processive diacylglycerol alpha-glucosyltransferase
NODE_3_length_86678_cov_74.991238	CDS	64152	65183	+	F6GI3_00305	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	65190	67187	+	F6GI3_00306	Alpha-monoglucosyldiacylglycerol synthase
NODE_3_length_86678_cov_74.991238	CDS	67177	68106	+	F6GI3_00307	3'-5' exoribonuclease YhaM
NODE_3_length_86678_cov_74.991238	CDS	68110	68763	+	F6GI3_00308	tRNA1(Val) (adenine(37)-N6)-methyltransferase
NODE_3_length_86678_cov_74.991238	CDS	68775	69572	+	F6GI3_00309	Sugar phosphatase YbiV
NODE_3_length_86678_cov_74.991238	CDS	69556	71181	+	F6GI3_00310	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	71181	71402	+	F6GI3_00311	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	71399	71938	+	F6GI3_00312	putative chromate transport protein
NODE_3_length_86678_cov_74.991238	CDS	71935	72486	+	F6GI3_00313	Chromate transport protein
NODE_3_length_86678_cov_74.991238	CDS	72495	74600	+	F6GI3_00314	Protein YhgF
NODE_3_length_86678_cov_74.991238	CDS	74602	75894	+	F6GI3_00315	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	75954	76397	+	F6GI3_00316	hypothetical protein
NODE_3_length_86678_cov_74.991238	CDS	76492	77310	+	F6GI3_00317	Transketolase 2
NODE_3_length_86678_cov_74.991238	CDS	77310	78245	+	F6GI3_00318	1-deoxy-D-xylulose-5-phosphate synthase
NODE_3_length_86678_cov_74.991238	CDS	78288	79805	-	F6GI3_00319	Sulfite reductase [ferredoxin]
NODE_3_length_86678_cov_74.991238	CDS	79808	80560	-	F6GI3_00320	Iron(3+)-hydroxamate import ATP-binding protein FhuC
NODE_3_length_86678_cov_74.991238	CDS	80547	81539	-	F6GI3_00321	Hemin transport system permease protein HmuU
NODE_3_length_86678_cov_74.991238	CDS	81511	82413	-	F6GI3_00322	Fe(3+)-citrate-binding protein YfmC
NODE_3_length_86678_cov_74.991238	CDS	82566	83966	+	F6GI3_00323	Aryl-phospho-beta-D-glucosidase BglC
NODE_3_length_86678_cov_74.991238	CDS	84158	84688	+	F6GI3_00324	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	68	1027	-	F6GI3_00325	putative ABC transporter solute-binding protein YclQ
NODE_4_length_79659_cov_76.046317	CDS	1040	1792	-	F6GI3_00326	Iron(3+)-hydroxamate import ATP-binding protein FhuC
NODE_4_length_79659_cov_76.046317	CDS	1795	2757	-	F6GI3_00327	Ferric-anguibactin transport system permease protein FatC
NODE_4_length_79659_cov_76.046317	CDS	2750	3736	-	F6GI3_00328	Ferric-anguibactin transport system permease protein FatD
NODE_4_length_79659_cov_76.046317	CDS	3954	4772	-	F6GI3_00329	Phosphate-import permease protein PhnE
NODE_4_length_79659_cov_76.046317	CDS	4772	5596	-	F6GI3_00330	Phosphate-import permease protein PhnE
NODE_4_length_79659_cov_76.046317	CDS	5598	6362	-	F6GI3_00331	Phosphate-import ATP-binding protein PhnC
NODE_4_length_79659_cov_76.046317	CDS	6437	7441	-	F6GI3_00332	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	7769	8731	-	F6GI3_00333	CRISPR-associated endonuclease Cas9
NODE_4_length_79659_cov_76.046317	CDS	8734	9084	-	F6GI3_00334	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	9180	10829	-	F6GI3_00335	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
NODE_4_length_79659_cov_76.046317	CDS	11052	12584	-	F6GI3_00336	GMP synthase [glutamine-hydrolyzing]
NODE_4_length_79659_cov_76.046317	CDS	12574	13719	-	F6GI3_00337	Inosine-5'-monophosphate dehydrogenase
NODE_4_length_79659_cov_76.046317	CDS	13860	15353	-	F6GI3_00338	Guanine/hypoxanthine permease PbuG
NODE_4_length_79659_cov_76.046317	CDS	15524	16162	-	F6GI3_00339	Chloramphenicol acetyltransferase
NODE_4_length_79659_cov_76.046317	CDS	16216	16362	-	F6GI3_00340	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	16380	17696	-	F6GI3_00341	23S rRNA (uracil-C(5))-methyltransferase RlmCD
NODE_4_length_79659_cov_76.046317	CDS	17698	18348	-	F6GI3_00342	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	18468	19553	-	F6GI3_00343	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	19563	20966	-	F6GI3_00344	Peptidoglycan O-acetyltransferase
NODE_4_length_79659_cov_76.046317	CDS	20976	21473	-	F6GI3_00345	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	21563	21952	-	F6GI3_00346	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	22141	24183	-	F6GI3_00347	Cadmium%2C zinc and cobalt-transporting ATPase
NODE_4_length_79659_cov_76.046317	CDS	24185	24520	-	F6GI3_00348	Transcriptional repressor SmtB 
NODE_4_length_79659_cov_76.046317	CDS	24693	25841	+	F6GI3_00349	S-adenosylmethionine synthase
NODE_4_length_79659_cov_76.046317	CDS	25928	27064	-	F6GI3_00350	Glycerate 2-kinase
NODE_4_length_79659_cov_76.046317	CDS	27168	28622	-	F6GI3_00351	Putative glycoside/cation symporter YagG
NODE_4_length_79659_cov_76.046317	CDS	28965	29639	-	F6GI3_00352	HTH-type transcriptional repressor RspR
NODE_4_length_79659_cov_76.046317	CDS	29829	30632	+	F6GI3_00353	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	30632	32404	+	F6GI3_00354	Beta-N-acetylglucosaminidase/beta-glucosidase
NODE_4_length_79659_cov_76.046317	CDS	32671	33690	-	F6GI3_00355	2-dehydro-3-deoxygluconokinase
NODE_4_length_79659_cov_76.046317	CDS	33722	34663	-	F6GI3_00356	Putative KHG/KDPG aldolase
NODE_4_length_79659_cov_76.046317	CDS	34912	35418	-	F6GI3_00357	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	35573	36988	-	F6GI3_00358	Uronate isomerase
NODE_4_length_79659_cov_76.046317	CDS	36972	37829	-	F6GI3_00359	Inosose dehydratase
NODE_4_length_79659_cov_76.046317	CDS	37822	38838	-	F6GI3_00360	Putative 4%2C5-dihydroxyphthalate dehydrogenase
NODE_4_length_79659_cov_76.046317	CDS	38870	40030	-	F6GI3_00361	Myo-inositol 2-dehydrogenase
NODE_4_length_79659_cov_76.046317	CDS	40048	40914	-	F6GI3_00362	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	40916	41761	-	F6GI3_00363	putative oxidoreductase
NODE_4_length_79659_cov_76.046317	CDS	41763	42809	-	F6GI3_00364	Mannonate dehydratase
NODE_4_length_79659_cov_76.046317	CDS	42946	44181	-	F6GI3_00365	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	44302	45102	-	F6GI3_00366	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	45105	45566	-	F6GI3_00367	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	45770	46624	+	F6GI3_00368	Small-conductance mechanosensitive channel
NODE_4_length_79659_cov_76.046317	CDS	46645	47634	+	F6GI3_00369	Choloylglycine hydrolase
NODE_4_length_79659_cov_76.046317	CDS	47674	48063	-	F6GI3_00370	Inner membrane protein YbaN
NODE_4_length_79659_cov_76.046317	CDS	48069	48401	-	F6GI3_00371	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	48403	50082	-	F6GI3_00372	putative ABC transporter ATP-binding protein
NODE_4_length_79659_cov_76.046317	CDS	50084	51814	-	F6GI3_00373	ATP-binding/permease protein CydD
NODE_4_length_79659_cov_76.046317	CDS	52030	52809	-	F6GI3_00374	Ferric enterobactin transport ATP-binding protein FepC
NODE_4_length_79659_cov_76.046317	CDS	52799	53785	-	F6GI3_00375	putative heme-iron transport system permease protein IsdF
NODE_4_length_79659_cov_76.046317	CDS	53794	54651	-	F6GI3_00376	High-affinity heme uptake system protein IsdE
NODE_4_length_79659_cov_76.046317	CDS	54644	55399	-	F6GI3_00377	hypothetical protein
NODE_4_length_79659_cov_76.046317	CDS	55392	58499	-	F6GI3_00378	Beta-N-acetylhexosaminidase
NODE_4_length_79659_cov_76.046317	CDS	58666	60009	-	F6GI3_00379	Magnesium transporter MgtE
NODE_4_length_79659_cov_76.046317	CDS	60023	61366	-	F6GI3_00380	Magnesium transporter MgtE
NODE_4_length_79659_cov_76.046317	CDS	61427	62224	-	F6GI3_00381	Zinc transporter ZupT
NODE_4_length_79659_cov_76.046317	CDS	62241	63413	-	F6GI3_00382	Sensor histidine kinase CssS
NODE_4_length_79659_cov_76.046317	CDS	63558	64217	-	F6GI3_00383	Transcriptional regulatory protein CssR
NODE_4_length_79659_cov_76.046317	CDS	64338	65672	-	F6GI3_00384	Phosphoglucosamine mutase
NODE_4_length_79659_cov_76.046317	CDS	65689	67035	-	F6GI3_00385	CdaA regulatory protein CdaR
NODE_4_length_79659_cov_76.046317	CDS	67025	67990	-	F6GI3_00386	Diadenylate cyclase
NODE_4_length_79659_cov_76.046317	CDS	68115	68879	-	F6GI3_00387	Putative phosphatase
NODE_4_length_79659_cov_76.046317	CDS	68920	69492	-	F6GI3_00388	Septum formation protein Maf
